Time: 10000.000000
0 0 15.592
0 1 31.9151
0 2 9.02835
0 3 8.84984
0 4 0.603452
0 5 0.0333241
0 6 1
1 0 28.112
1 1 57.5409
1 2 16.278
1 3 15.9565
1 4 1.088
1 5 0.0600822
1 6 1
2 0 38.9272
2 1 79.6792
2 2 22.5404
2 3 22.0953
2 4 1.50659
2 5 0.0831979
2 6 1
3 0 48.0864
3 1 98.4277
3 2 27.844
3 3 27.2937
3 4 1.86104
3 5 0.102772
3 6 1
4 0 55.5368
4 1 113.679
4 2 32.1578
4 3 31.5227
4 4 2.14941
4 5 0.118692
4 6 1
5 0 61.164
5 1 125.195
5 2 35.4165
5 3 34.7161
5 4 2.36719
5 5 0.130718
5 6 1
6 0 64.8424
6 1 132.726
6 2 37.5468
6 3 36.8044
6 4 2.50963
6 5 0.138588
6 6 1
7 0 66.4784
7 1 136.072
7 2 38.4936
7 3 37.7319
7 4 2.57289
7 5 0.142083
7 6 1
8 0 66.0264
8 1 135.148
8 2 38.2321
8 3 37.4763
8 4 2.55541
8 5 0.141111
8 6 1
9 0 63.5008
9 1 129.978
9 2 36.7697
9 3 36.0442
9 4 2.45763
9 5 0.135718
9 6 1
10 0 58.976
10 1 120.717
10 2 34.1495
10 3 33.4732
10 4 2.28252
10 5 0.126042
10 6 1
11 0 52.5848
11 1 107.635
11 2 30.4486
11 3 29.8473
11 4 2.03519
11 5 0.112388
11 6 1
12 0 44.5032
12 1 91.0912
12 2 25.7688
12 3 25.2599
12 4 1.72237
12 5 0.0951134
12 6 1
13 0 34.9288
13 1 71.4937
13 2 20.2248
13 3 19.8252
13 4 1.35185
13 5 0.0746505
13 6 1
14 0 24.0624
14 1 49.2516
14 2 13.933
14 3 13.6577
14 4 0.931259
14 5 0.0514271
14 6 1
15 0 12.0984
15 1 24.7648
15 2 7.00569
15 3 6.86719
15 4 0.468259
15 5 0.0258576
15 6 1
Time: 0.100000
0 0 1.94778e-05
0 1 0.000101329
0 2 9.78746e-05
0 3 0.00027614
0 4 7.62064e-05
0 5 1.92789e-05
0 6 1
1 0 3.5118e-05
1 1 0.000182689
1 2 0.000176467
1 3 0.000497887
1 4 0.000137397
1 5 3.47592e-05
1 6 1
2 0 4.86286e-05
2 1 0.000252978
2 2 0.000244356
2 3 0.000689435
2 4 0.000190259
2 5 4.81323e-05
2 6 1
3 0 6.00704e-05
3 1 0.000312503
3 2 0.000301852
3 3 0.00085164
3 4 0.000235019
3 5 5.94564e-05
3 6 1
4 0 6.93776e-05
4 1 0.000360926
4 2 0.000348617
4 3 0.000983598
4 4 0.000271436
4 5 6.86666e-05
4 6 1
5 0 7.64072e-05
5 1 0.000397488
5 2 0.000383944
5 3 0.00108324
5 4 0.000298938
5 5 7.56237e-05
5 6 1
6 0 8.10024e-05
6 1 0.0004214
6 2 0.000407038
6 3 0.0011484
6 4 0.000316926
6 5 8.01769e-05
6 6 1
7 0 8.30461e-05
7 1 0.000432023
7 2 0.000417302
7 3 0.00117734
7 4 0.000324915
7 5 8.21991e-05
7 6 1
8 0 8.24814e-05
8 1 0.000429087
8 2 0.000414467
8 3 0.00116937
8 4 0.000322707
8 5 8.16366e-05
8 6 1
9 0 7.93264e-05
9 1 0.000412674
9 2 0.000398614
9 3 0.00112468
9 4 0.00031036
9 5 7.85163e-05
9 6 1
10 0 7.36739e-05
10 1 0.00038327
10 2 0.000370209
10 3 0.00104446
10 4 0.000288246
10 5 7.29185e-05
10 6 1
11 0 6.56899e-05
11 1 0.000341736
11 2 0.000330088
11 3 0.000931321
11 4 0.000257012
11 5 6.50194e-05
11 6 1
12 0 5.55942e-05
12 1 0.00028921
12 2 0.000279355
12 3 0.000788181
12 4 0.000217508
12 5 5.50257e-05
12 6 1
13 0 4.36337e-05
13 1 0.000226989
13 2 0.000219253
13 3 0.000618603
13 4 0.000170717
13 5 4.31873e-05
13 6 1
14 0 3.00592e-05
14 1 0.000156371
14 2 0.000151045
14 3 0.00042616
14 4 0.000117603
14 5 2.9752e-05
14 6 1
15 0 1.51136e-05
15 1 7.86269e-05
15 2 7.59473e-05
15 3 0.000214276
15 4 5.91337e-05
15 5 1.49593e-05
15 6 1
Time: 0.200000
0 0 3.89313e-05
0 1 0.000202336
0 2 0.000194688
0 3 0.000543664
0 4 0.000142789
0 5 2.74044e-05
0 6 1
1 0 7.01922e-05
1 1 0.000364799
1 2 0.00035102
1 3 0.000980238
1 4 0.000257443
1 5 4.94092e-05
1 6 1
2 0 9.71965e-05
2 1 0.000505152
2 2 0.000486063
2 3 0.00135736
2 4 0.000356491
2 5 6.84187e-05
2 6 1
3 0 0.000120066
3 1 0.000624014
3 2 0.000600432
3 3 0.00167671
3 4 0.00044036
3 5 8.45156e-05
3 6 1
4 0 0.000138669
4 1 0.000720706
4 2 0.000693454
4 3 0.0019365
4 4 0.000508594
4 5 9.76077e-05
4 6 1
5 0 0.000152719
5 1 0.000793713
5 2 0.000763725
5 3 0.00213268
5 4 0.000560125
5 5 0.000107497
5 6 1
6 0 0.000161904
6 1 0.000841461
6 2 0.000809663
6 3 0.00226097
6 4 0.00059383
6 5 0.000113969
6 6 1
7 0 0.000165988
7 1 0.000862674
7 2 0.000830079
7 3 0.00231794
7 4 0.000608798
7 5 0.000116844
7 6 1
8 0 0.00016486
8 1 0.000856812
8 2 0.000824441
8 3 0.00230225
8 4 0.000604662
8 5 0.000116044
8 6 1
9 0 0.000158554
9 1 0.000824037
9 2 0.000792906
9 3 0.00221427
9 4 0.000581526
9 5 0.000111609
9 6 1
10 0 0.000147256
10 1 0.000765324
10 2 0.000736404
10 3 0.00205633
10 4 0.000540091
10 5 0.000103652
10 6 1
11 0 0.000131298
11 1 0.000682388
11 2 0.000656597
11 3 0.00183358
11 4 0.000481567
11 5 9.24232e-05
11 6 1
12 0 0.000111119
12 1 0.000577502
12 2 0.000555681
12 3 0.00155177
12 4 0.000407548
12 5 7.82175e-05
12 6 1
13 0 8.72129e-05
13 1 0.000453257
13 2 0.000436129
13 3 0.0012179
13 4 0.000319876
13 5 6.13896e-05
13 6 1
14 0 6.00809e-05
14 1 0.000312246
14 2 0.000300453
14 3 0.000839022
14 4 0.000220355
14 5 4.22916e-05
14 6 1
15 0 3.02082e-05
15 1 0.000157004
15 2 0.000151071
15 3 0.000421866
15 4 0.0001108
15 5 2.12643e-05
15 6 1
Time: 0.300000
0 0 5.83605e-05
0 1 0.000303022
0 2 0.000290452
0 3 0.00080284
0 4 0.000200963
0 5 3.08291e-05
0 6 1
1 0 0.000105223
1 1 0.00054633
1 2 0.000523681
1 3 0.00144754
1 4 0.000362329
1 5 5.55838e-05
1 6 1
2 0 0.000145704
2 1 0.000756526
2 2 0.000725149
2 3 0.00200444
2 4 0.00050173
2 5 7.69689e-05
2 6 1
3 0 0.000179986
3 1 0.000934535
3 2 0.000895774
3 3 0.00247603
3 4 0.000619768
3 5 9.50774e-05
3 6 1
4 0 0.000207873
4 1 0.00107934
4 2 0.00103455
4 3 0.00285968
4 4 0.000715803
4 5 0.000109806
4 6 1
5 0 0.000228935
5 1 0.00118868
5 2 0.00113939
5 3 0.00314937
5 4 0.000788328
5 5 0.000120931
5 6 1
6 0 0.000242704
6 1 0.00126019
6 2 0.00120792
6 3 0.00333882
6 4 0.000835765
6 5 0.000128212
6 6 1
7 0 0.000248827
7 1 0.00129196
7 2 0.00123838
7 3 0.00342296
7 4 0.000856832
7 5 0.000131446
7 6 1
8 0 0.000247135
8 1 0.00128318
8 2 0.00122997
8 3 0.00339978
8 4 0.00085101
8 5 0.000130546
8 6 1
9 0 0.000237682
9 1 0.00123409
9 2 0.00118292
9 3 0.00326985
9 4 0.000818448
9 5 0.000125556
9 6 1
10 0 0.000220746
10 1 0.00114616
10 2 0.00109863
10 3 0.00303662
10 4 0.000760132
10 5 0.000116605
10 6 1
11 0 0.000196824
11 1 0.00102196
11 2 0.000979567
11 3 0.00270769
11 4 0.000677764
11 5 0.000103973
11 6 1
12 0 0.000166574
12 1 0.000864878
12 2 0.000829012
12 3 0.00229153
12 4 0.000573589
12 5 8.79923e-05
12 6 1
13 0 0.000130738
13 1 0.000678807
13 2 0.000650654
13 3 0.00179851
13 4 0.000450198
13 5 6.90614e-05
13 6 1
14 0 9.0065e-05
14 1 0.000467626
